url,discovery_source,status_code,final_url,canonical_url,content_type,indexability_status,action,skip_reason
https://www.audiojones.com,internal-link|sitemap,200,https://www.audiojones.com,https://www.audiojones.com,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/about,sitemap,200,https://www.audiojones.com/about,https://www.audiojones.com/about,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/agents,internal-link|sitemap,200,https://www.audiojones.com/agents,https://www.audiojones.com/agents,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/agents/responseos,internal-link|sitemap,200,https://www.audiojones.com/agents/responseos,https://www.audiojones.com/agents/responseos,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/ai-readiness-diagnostic,internal-link|sitemap,200,https://www.audiojones.com/ai-readiness-diagnostic,https://www.audiojones.com/ai-readiness-diagnostic,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/applied-intelligence,internal-link|sitemap,200,https://www.audiojones.com/applied-intelligence,https://www.audiojones.com/applied-intelligence,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/applied-intelligence/diagnostic,internal-link|sitemap,200,https://www.audiojones.com/applied-intelligence/diagnostic,https://www.audiojones.com/applied-intelligence/diagnostic,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/apply,internal-link|sitemap,200,https://www.audiojones.com/apply,https://www.audiojones.com/apply,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/blog,sitemap,200,https://www.audiojones.com/blog,https://www.audiojones.com/blog,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/blog/topic/ai-readiness,internal-link,404,https://www.audiojones.com/blog/topic/ai-readiness,https://www.audiojones.com/blog/topic/ai-readiness,text/html; charset=utf-8,noindex,skipped,error page: HTTP 404
https://www.audiojones.com/blog/topic/applied-intelligence-systems,internal-link,404,https://www.audiojones.com/blog/topic/applied-intelligence-systems,https://www.audiojones.com/blog/topic/applied-intelligence-systems,text/html; charset=utf-8,noindex,skipped,error page: HTTP 404
https://www.audiojones.com/blog/topic/map-attribution,internal-link,404,https://www.audiojones.com/blog/topic/map-attribution,https://www.audiojones.com/blog/topic/map-attribution,text/html; charset=utf-8,noindex,skipped,error page: HTTP 404
https://www.audiojones.com/blog/topic/signal-vs-noise,internal-link,404,https://www.audiojones.com/blog/topic/signal-vs-noise,https://www.audiojones.com/blog/topic/signal-vs-noise,text/html; charset=utf-8,noindex,skipped,error page: HTTP 404
https://www.audiojones.com/blog/topic/why-ai-fails,internal-link,404,https://www.audiojones.com/blog/topic/why-ai-fails,https://www.audiojones.com/blog/topic/why-ai-fails,text/html; charset=utf-8,noindex,skipped,error page: HTTP 404
https://www.audiojones.com/book,internal-link,200,https://www.audiojones.com/book-a-call,https://www.audiojones.com/book-a-call,text/html; charset=utf-8,blocked by robots.txt,skipped,intentionally blocked by robots.txt
https://www.audiojones.com/book-a-call,internal-link|sitemap,200,https://www.audiojones.com/book-a-call,https://www.audiojones.com/book-a-call,text/html; charset=utf-8,blocked by robots.txt,skipped,intentionally blocked by robots.txt
https://www.audiojones.com/cancellation-policy,internal-link,200,https://www.audiojones.com/cancellation-policy,https://www.audiojones.com/cancellation-policy,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/case-studies,internal-link|sitemap,200,https://www.audiojones.com/case-studies,https://www.audiojones.com/case-studies,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/cookie-policy,internal-link,200,https://www.audiojones.com/cookie-policy,https://www.audiojones.com/cookie-policy,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/founder-gravity-audit,internal-link|sitemap,200,https://www.audiojones.com/founder-gravity-audit,https://www.audiojones.com/founder-gravity-audit,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/founder-gravity-audit/diagnostic,internal-link|sitemap,200,https://www.audiojones.com/founder-gravity-audit/diagnostic,https://www.audiojones.com/founder-gravity-audit/diagnostic,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/frameworks,internal-link|sitemap,200,https://www.audiojones.com/frameworks,https://www.audiojones.com/frameworks,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/frameworks/applied-intelligence-systems,internal-link|sitemap,200,https://www.audiojones.com/frameworks/applied-intelligence-systems,https://www.audiojones.com/frameworks/applied-intelligence-systems,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/frameworks/map-attribution,internal-link|sitemap,200,https://www.audiojones.com/frameworks/map-attribution,https://www.audiojones.com/frameworks/map-attribution,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/frameworks/niche-framework,internal-link|sitemap,200,https://www.audiojones.com/frameworks/niche-framework,https://www.audiojones.com/frameworks/niche-framework,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/frameworks/signal-vs-noise,internal-link|sitemap,200,https://www.audiojones.com/frameworks/signal-vs-noise,https://www.audiojones.com/frameworks/signal-vs-noise,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/insights,internal-link|sitemap,200,https://www.audiojones.com/insights,https://www.audiojones.com/insights,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/insights/applied-intelligence-systems,internal-link|sitemap,200,https://www.audiojones.com/insights/applied-intelligence-systems,https://www.audiojones.com/insights/applied-intelligence-systems,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/insights/marketing-attribution-causal-identification,internal-link|sitemap,200,https://www.audiojones.com/insights/marketing-attribution-causal-identification,https://www.audiojones.com/insights/marketing-attribution-causal-identification,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/insights/signal-vs-noise-business,internal-link|sitemap,200,https://www.audiojones.com/insights/signal-vs-noise-business,https://www.audiojones.com/insights/signal-vs-noise-business,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/insights/why-ai-fails-most-companies,internal-link|sitemap,200,https://www.audiojones.com/insights/why-ai-fails-most-companies,https://www.audiojones.com/insights/why-ai-fails-most-companies,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/pricing,sitemap,200,https://www.audiojones.com/pricing,https://www.audiojones.com/pricing,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/privacy-policy,internal-link,200,https://www.audiojones.com/privacy-policy,https://www.audiojones.com/privacy-policy,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/roi-calculator,internal-link|sitemap,200,https://www.audiojones.com/roi-calculator,https://www.audiojones.com/roi-calculator,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/services,internal-link|sitemap,200,https://www.audiojones.com/services,https://www.audiojones.com/services,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/sitemap.xml,internal-link,,,,,non-html,skipped,non-HTML asset discovered via internal link
https://www.audiojones.com/step-2,internal-link,200,https://www.audiojones.com/step-2,https://www.audiojones.com/step-2,text/html; charset=utf-8,noindex,skipped,intentionally noindex
https://www.audiojones.com/terms-of-service,internal-link,200,https://www.audiojones.com/terms-of-service,https://www.audiojones.com/terms-of-service,text/html; charset=utf-8,indexable,audited,
https://www.audiojones.com/workshops,internal-link|sitemap,200,https://www.audiojones.com/workshops,https://www.audiojones.com/workshops,text/html; charset=utf-8,indexable,audited,
